#,"Nice, and you are:",Ethnic Group Code,Monthly Household Income,District Code,Tertiary Institute,Tertiary_Other,What's the name of the tertiary institute?,"I have a certain amount of intelligence, and I can't really do much to change it.",My intelligence is something that I cannot change very much.,"I believe that no matter who you are, you can significantly change your intelligence level.",I believe that you can't really change how intelligent you are.,I believe that you can always substantially change how intelligent you are.,"You can learn new things, but you can't really change your basic intelligence.","No matter how much intelligence you have, whether high or low, you can always change it to quite a degree.",I can change even my basic intelligence level considerably.,"People have a certain amount of talent, and you can't really do much to change it.",Your talent is something you can't change very much.,"No matter who you are, you can significantly change your level of talent.","To be honest, you can't really change how much talent you have.",You can always substantially change how much talent you have.,"I can learn new things, but I can't really change my basic level of talent.","No matter how much talent you have, you can always change it quite a bit.",You can change even your basic talent level considerably.,I can make unpopular or difficult decisions that affect other people if necessary.,I don't think of myself as a strong person when dealing with life's challenges and difficulties.,"Under pressure, I stay focused and think clearly.","I prefer to take the lead in solving problems, rather than letting others make all the decisions.",I feel in control of my life.,I try to see the funny side of things when I am faced with problems.,"Good or bad, I believe that most things happen for a reason.",I don't believe that I can achieve my goals if there are problems.,"I work to attain my goals, no matter what problems I encounter along the way.",Having to cope with stress can make me stronger.,"On a whole, I am satisfied with myself.","At times, I think I'm no good at all.",I feel that I have a number of good qualities.,I am able to do things as well as most people.,I feel I do not have much to be proud of.,I certainly feel useless at times.,"I feel that I'm a person of worth, at least on an equal plane with others.",I wish I could have more respect for myself.,"All in all, I am inclined to feel that I am a failure.",I take a positive attitude towards myself.,I can always manage to solve difficult problems if I try hard enough.,"If someone opposes me, I can find means and ways to get what I want.",It is easy for me to stick to my aims and accomplish my goals.,I am confident that I can efficiently deal with unexpected events.,"Thanks to my resourcefulness, I know how to handle unforeseen situations.",I can solve most problems if I invest the necessary effort.,I can remain calm when facing difficulties because I can rely on my coping abilities.,"When I am confronted with a problem, I can usually find several solutions.","If I'm in a bind, I can usually think of something to do.","No matter what comes my way, I'm usually able to handle it.",It's fun to learn about unfamiliar subjects.,It's fascinating to learn new information.,I enjoy exploring new ideas.,"If I get to learn something new, I like to find out more.",It's fun to discuss abstract concepts.,I paint an interesting picture of the future for my group.,I'm always seeking new opportunities for my group.,I inspire my group with my plan for the future.,I have a clear understanding of where we are going.,I'm able to get others committed to my dream.,I would describe myself as someone who actively seeks as much information as I can in a new situation.,"When I am participating in an activity, I tend to get so involved that I lose track of time.",I frequently find myself looking for new opportunities to grow as a person.,I am <strong>not</strong> the type of person who probes deeply into new situations or things.,"When I am actively interested in something, it takes a great deal to interrupt me.",My friends would describe me as someone who is 'extremely intense' when in the middle of doing something.,"Everywhere I go, I am out looking for new things or experiences.",I am able to finish all my work during a set amount of time.,I know all the tasks I have to accomplish for the day.,I am able to plan and set goals for my projects.,I can set aside distractions and focus on what I am doing.,I set up a schedule for tasks and projects to be done.,I am sensitive to what others are not saying.,I am aware of what others imply but do not say.,I understand how others feel.,I listen for more than just the spoken words.,I assure others that I will remember what they say.,I summarise points of agreement and disagreement when appropriate.,I keep track of points others make.,I assure others that I am listening by using verbal acknowledgements.,I assure others that I am receptive to their ideas.,I ask questions that show my understanding of others' positions.,"I show others that I am listening through my body language (e.g. head nods, eye contact)",I am able to finish all my work during a set amount of time.,I know all the tasks I have to accomplish for the day.,I am able to plan and set goals for my projects.,I can set aside distractions and focus on what I am doing.,I set up a schedule for tasks and projects to be done.,How much do you contribute ideas/information/resources?,How participatory are you?,What is your typical standard of work quality?,How well do you manage your time?,How much do you support the team?,How prepared are you usually?,How do you participate in group problem solving?,How aware are you of the team dynamics and your impact on the team?,How supportive are you in a team?,How flexible are you between roles?,How self-reflective are you?,Score,Start Date (UTC),Submit Date (UTC),Network ID
7d6249b5d4516a99be690607a18953c2,Female,3,"$11,000 to $12,999",19,Junior College,,St Andrews Junior College,3,1,6,2,5,4,3,5,5,5,3,6,3,7,5,3,3,5,3,6,2,3,7,3,5,6,3,3,6,6,2,5,5,7,5,4,5,6,4,3,5,7,5,3,5,5,6,6,6,6,7,6,6,6,6,6,6,6,5,5,7,5,3,6,5,6,3,5,6,7,6,6,6,5,6,6,7,7,7,,,,,,I freely share ideas information and resources.,I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,9,2018-02-24 15:10:35,2018-02-24 15:27:12,def2a45889
c999570620c2321407d607fac6da70da,Female,3,"Below $1,000",14,Polytechnic,,Temasek polytechnic,6,4,4,3,4,6,3,4,5,6,3,3,5,5,5,5,3,5,4,6,6,4,5,3,5,4,3,5,4,4,5,5,3,5,5,5,5,3,3,3,3,4,5,4,3,5,6,6,7,7,7,4,5,5,3,1,3,3,5,4,5,4,5,3,5,4,5,5,5,2,5,4,3,3,4,4,4,5,5,,,,,,I freely share ideas information and resources.,I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I consistently bring needed materials and come ready to work.,"I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I sometimes listen to, respect, acknowledge, or support the efforts of others. At times I allow conflict of personal differences to interfere with communication.",I like to either lead or follow but I am uncomfortable when functioning outside my perceived role.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",12,2018-02-24 14:38:21,2018-02-24 14:52:23,c06e7f740d
91fbf4c11688a36848608368627d83c3,Female,3,"$3,000 to $4,999",23,Junior College,,Catholic JC,4,5,3,5,4,6,3,4,6,5,3,5,3,3,3,2,5,3,5,5,1,3,6,5,3,3,2,6,4,3,5,6,3,5,6,2,3,3,3,5,5,6,5,5,5,5,4,5,6,5,5,3,5,4,2,4,4,4,7,2,5,4,5,2,6,2,1,1,7,7,7,7,7,7,7,7,7,7,7,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I rarely get things done by the deadline and others often have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,"I make an effort to bring or find materials needed to work, but often misplace things.","I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,10,2018-02-24 14:45:15,2018-02-24 14:50:28,2c0f8e94b7
f2a8f561e995e0797824b2ab0cd1e4ae,Male,3,"$5,000 to $6,999",19,Polytechnic,,Temasek,5,4,3,6,4,5,5,5,7,6,4,5,4,6,4,4,5,4,4,5,6,3,5,3,4,4,5,3,5,5,3,3,5,3,3,5,5,5,5,4,4,4,4,3,4,4,5,5,6,5,6,4,5,4,5,5,5,5,5,3,5,3,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4,5,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.","I am uncomfortable with role flexibility, but attempt to move outside my perceived role.","Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",9,2018-02-24 13:59:10,2018-02-24 14:15:54,24ef92818b
d51113d10adc60a1d811b77f025f9a9d,Female,3,"$7000 to $8,999",25,Polytechnic,,Ngee Ann,6,6,3,6,3,5,3,3,3,3,5,3,5,5,5,5,6,5,5,6,6,6,6,1,6,4,5,6,6,5,1,5,5,7,5,3,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,"I share ideas, information and resources upon request.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",9,2018-02-24 13:06:39,2018-02-24 13:15:35,500b23d400
a13d84c1d2cc86d07bfe41b1c09f03ce,Male,3,"$7000 to $8,999",25,Polytechnic,,Singapore Polytechnic,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,5,6,6,5,5,5,6,4,5,6,5,6,4,6,5,7,6,6,6,6,6,5,5,6,6,6,6,6,6,5,7,,,,,,"I usually share ideas, information and resources.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,11,2018-02-24 12:58:58,2018-02-24 13:06:06,500b23d400
27186c58f42b484a867ba2b8bc293605,Male,3,"$1,000 to $2,999",19,Polytechnic,,Temasek Poly,5,5,5,4,5,5,5,5,5,4,5,4,4,4,4,4,5,4,5,4,5,4,6,6,6,6,7,7,5,5,6,5,6,4,5,5,7,6,5,5,5,5,5,5,5,6,6,6,7,7,7,6,7,7,7,7,6,7,6,2,5,6,7,7,7,7,7,6,4,7,7,7,7,6,6,6,6,6,6,,,,,,I freely share ideas information and resources.,I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,12,2018-02-24 12:29:52,2018-02-24 12:35:35,eb592be81f
61ee62c3503deeca30256d3f6af8795c,Female,6,"$7000 to $8,999",17,Did not continue,,,4,5,7,2,6,3,7,7,4,6,6,2,4,4,4,4,4,4,3,1,1,1,7,1,7,7,2,7,4,6,7,7,2,7,7,1,1,1,7,3,6,7,5,5,5,5,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,,,,,,I freely share ideas information and resources.,I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,11,2018-02-24 11:43:27,2018-02-24 11:52:55,9745ed4347
8e1dc4d40994d7367c9339af9fc34470,Female,3,"$1,000 to $2,999",18,Polytechnic,,Temasek Polytechnic,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,3,5,4,4,4,3,3,4,7,5,1,6,5,4,5,4,3,4,4,4,4,3,5,5,4,5,5,4,5,4,7,6,7,5,6,5,5,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5,4,5,4,5,5,4,6,4,,,,,,"I share ideas, information and resources upon request.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",7,2018-02-24 11:27:06,2018-02-24 11:36:40,d6133601aa
52281ac8e141ad937fcc853bb6c57384,Female,3,"Below $1,000",19,Did not continue,,,4,3,6,6,6,6,5,3,6,7,2,6,2,7,2,1,5,5,3,5,4,3,5,5,4,4,3,6,4,5,5,5,3,5,5,2,4,5,5,4,5,5,2,3,3,4,5,5,5,5,5,5,5,3,3,3,3,3,3,5,3,6,4,4,4,4,5,5,7,5,6,6,6,2,3,6,6,5,7,,,,,,"I share ideas, information and resources upon request.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,Self-reflection occurs after collaborative activities when prompted or reminded by others.,7,2018-02-24 11:22:16,2018-02-24 11:35:18,a00db4afca
5f1d00d8373eac5e62da057890fdc362,Female,3,"Below $1,000",18,Polytechnic,,Temasek Polytechnic,3,3,6,3,6,3,5,5,6,6,3,6,3,6,3,3,5,3,3,5,6,6,6,3,6,6,6,3,5,6,4,3,5,3,3,6,6,3,6,6,5,6,5,5,6,6,6,6,5,6,4,5,5,5,5,5,5,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,5,5,5,5,5,5,5,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,10,2018-02-24 11:20:27,2018-02-24 11:30:25,2a20cb17cb
19b7f1b495c6949684db800120c6ee68,Female,3,"Below $1,000",18,Polytechnic,,Temasak Poly,4,5,4,5,4,4,5,5,5,5,4,5,5,6,5,4,5,5,5,5,4,6,5,6,6,6,4,6,6,5,6,5,6,6,6,5,6,6,6,6,6,5,5,4,6,5,6,5,6,6,6,5,6,5,5,5,5,5,6,5,5,5,6,5,5,5,5,6,5,6,6,5,5,5,5,5,6,5,5,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",9,2018-02-24 11:21:27,2018-02-24 11:25:55,72a39ae5c5
14b744bc2ca019479be7a2ee671cc6cd,Male,4,"Below $1,000",18,Polytechnic,,Nanyang Polytechnic,2,2,7,2,7,2,5,6,3,3,6,2,6,3,6,5,1,5,2,2,4,3,6,5,5,5,5,3,5,5,3,3,6,3,2,5,5,5,4,5,3,6,2,5,2,2,7,7,7,7,5,5,5,7,7,7,7,5,7,2,5,7,7,2,5,2,3,2,5,5,6,6,7,7,7,7,7,7,7,,,,,,"I share ideas, information and resources upon request.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,"I make an effort to bring or find materials needed to work, but often misplace things.","I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,9,2018-02-24 11:04:46,2018-02-24 11:18:09,9e48513ed2
bc8a899468bd83f639f2c59235d1954e,Female,3,"Below $1,000",15,Junior College,,Hwa Chong Institution,5,5,3,3,4,5,3,3,5,3,5,3,5,3,5,4,5,3,5,5,5,5,6,3,5,6,6,4,5,6,3,4,5,3,2,6,4,5,4,5,5,5,5,5,5,5,6,5,5,6,6,5,5,6,6,5,5,6,6,3,6,7,5,6,5,5,5,6,4,6,5,6,4,5,6,6,6,6,6,,,,,,I freely share ideas information and resources.,I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,10,2018-02-24 10:10:40,2018-02-24 10:37:34,9e123af87a
9526745d75fd16858f3c06d28d784e6f,Female,3,"$13,000 to $14,999",16,Private Institution,,Kaplan,6,5,5,6,5,6,5,6,5,6,5,6,5,5,6,6,5,6,6,5,5,6,6,6,5,6,6,6,6,6,5,6,5,5,5,6,6,6,5,5,6,5,6,5,6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,6,5,6,5,6,6,6,6,5,,,,,,"I usually share ideas, information and resources.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,11,2018-02-24 10:01:01,2018-02-24 10:15:24,5127338749
6ede7a0c24a323dbc6940062eb08e2a7,Female,3,"$1,000 to $2,999",20,Junior College,,Nanyang Junior College,5,6,3,5,5,6,2,2,6,6,2,6,2,6,2,2,4,5,3,2,5,4,5,3,5,5,5,5,5,3,3,5,5,3,3,5,5,5,5,3,2,6,2,2,2,4,3,5,5,5,2,2,2,2,2,2,5,3,3,3,6,2,2,5,5,5,5,2,5,3,5,5,5,3,6,6,5,6,6,,,,,,"I share ideas, information and resources upon request.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",7,2018-02-24 09:57:54,2018-02-24 10:11:02,a58b7191c2
f1fc8181c9a237074a91007006f25ac3,Male,3,"$7000 to $8,999",19,Junior College,,St Andrew’s,3,3,5,3,5,3,5,5,3,3,5,3,5,3,5,5,5,3,4,5,5,5,6,3,5,6,5,5,5,5,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,4,5,5,5,4,5,5,4,3,5,2,4,5,5,5,5,3,2,6,6,6,5,4,5,5,6,6,6,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",9,2018-02-24 09:56:10,2018-02-24 10:07:44,507d2d0d0f
0e539ff0cad97de1323ca845bd433210,Male,3,"$5,000 to $6,999",18,Polytechnic,,Temasek Polytechnic,5,4,5,3,6,5,3,3,2,1,6,2,5,5,5,3,5,5,3,3,4,5,6,3,5,6,3,5,5,5,3,6,4,5,3,4,5,5,3,3,3,5,3,3,5,3,5,5,5,4,5,5,3,5,3,3,4,3,5,2,5,3,2,2,6,5,3,5,5,5,6,6,3,6,6,5,6,6,6,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,"I make an effort to bring or find materials needed to work, but often misplace things.","I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,8,2018-02-24 09:31:02,2018-02-24 09:46:49,08526541c0
98d1f111f5b0b71ed643b8a4f885d430,Female,4,"Below $1,000",16,ITE,,Ite College Central,4,4,3,5,4,5,4,4,3,3,4,4,4,3,5,4,4,4,5,4,4,5,5,4,4,5,4,4,4,4,3,3,4,5,3,5,5,4,4,5,4,5,4,4,4,4,6,5,5,5,5,4,5,4,5,3,5,4,5,3,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,4,5,5,5,,,,,,I freely share ideas information and resources.,I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",11,2018-02-24 09:29:19,2018-02-24 09:43:49,d4480b2072
d5c528828633961c2022984cd34152f3,Female,3,"$1,000 to $2,999",22,ITE,,ITECENTRAL,4,4,4,4,4,4,4,4,6,4,5,4,4,4,4,4,5,1,6,7,7,6,6,7,7,6,5,5,4,5,4,1,4,5,1,6,7,5,5,5,2,5,6,5,6,5,7,7,7,7,7,2,7,7,6,1,2,6,6,6,6,6,6,5,5,5,6,3,5,4,4,4,6,4,4,4,4,4,4,,,,,,"I share ideas, information and resources upon request.",I tend not to participate or remain engaged when a project moves away from my own immediate interests.,My work reflects very little effort and often needs to be checked and/or redone by others to ensure quality.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,"I make an effort to bring or find materials needed to work, but often misplace things.","I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I sometimes listen to, respect, acknowledge, or support the efforts of others. At times I allow conflict of personal differences to interfere with communication.","I am uncomfortable with role flexibility, but attempt to move outside my perceived role.","Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",4,2018-02-24 09:19:44,2018-02-24 09:27:31,ae1c5cbc72
